family_id,family_label,runner_level,days_per_week,card_state,route_outcome,duration_min_weeks,duration_max_weeks,program_bias,moderate_touch_cap_per_week,long_run_policy,cutback_frequency,required_core_identities,optional_identities,forbidden_identities,final_outcome_rule,required_refinement_fields,notes
10k_foundation,10K Foundation,running_regularly,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","1 day/week is not preset-safe"
10k_foundation,10K Foundation,running_regularly,2,available,review_after_refinement,16,24,development_oriented,1,"long_easy_day plus one development day",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run","easy_run_with_strides;progression_run;controlled_tempo_session;time_intervals","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","safe if duration extends"
10k_foundation,10K Foundation,running_regularly,3,recommended,review_after_refinement,10,16,development_oriented,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;controlled_tempo_session;time_intervals","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","strong preset zone"
10k_foundation,10K Foundation,running_regularly,4,recommended,review_after_refinement,8,14,development_oriented,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;controlled_tempo_session;time_intervals;10k_rhythm_intervals","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","default best fit"
10k_foundation,10K Foundation,running_regularly,5,recommended,review_after_refinement,8,12,development_oriented,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;controlled_tempo_session;time_intervals;10k_rhythm_intervals","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","do not drift into performance block"
10k_foundation,10K Foundation,performance_focused,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","1 day/week is not preset-safe"
10k_foundation,10K Foundation,performance_focused,2,not_ideal,review_after_refinement,16,24,base_only,1,"long_easy_day plus one development day",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run","easy_run_with_strides;progression_run;controlled_tempo_session;time_intervals","race_pace_session as default;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","visible as conservative base only"
10k_foundation,10K Foundation,performance_focused,3,available,review_after_refinement,10,16,base_only,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;controlled_tempo_session;time_intervals;10k_rhythm_intervals","half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","do not market as sharp race prep"
10k_foundation,10K Foundation,performance_focused,4,available,review_after_refinement,8,14,base_only,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;controlled_tempo_session;time_intervals;10k_rhythm_intervals","half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","conservative base framing only"
10k_foundation,10K Foundation,performance_focused,5,available,review_after_refinement,8,12,base_only,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;controlled_tempo_session;time_intervals;10k_rhythm_intervals","half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","still not a two-quality block"
half_marathon_balanced,Half Marathon Balanced,new_to_running,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","family not safe for this level"
half_marathon_balanced,Half Marathon Balanced,new_to_running,2,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","family not safe for this level"
half_marathon_balanced,Half Marathon Balanced,new_to_running,3,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","family not safe for this level"
half_marathon_balanced,Half Marathon Balanced,new_to_running,4,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","family not safe for this level"
half_marathon_balanced,Half Marathon Balanced,new_to_running,5,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","family not safe for this level"
half_marathon_balanced,Half Marathon Balanced,beginner,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","1 day/week is not preset-safe"
half_marathon_balanced,Half Marathon Balanced,beginner,2,not_ideal,advanced_custom,18,28,conservative_completion,1,"long_run plus one moderate_or_support day",every_3rd_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session lite","10k_rhythm_intervals;race_pace_session;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark;long_run_tolerance","narrow case only; often better routed to custom"
half_marathon_balanced,Half Marathon Balanced,beginner,3,available,review_after_refinement,18,28,conservative_completion,1,"one long run weekly",every_3rd_week,"easy_aerobic_run;recovery_jog;steady_aerobic_run;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;long_run_with_steady_finish late","10k_rhythm_intervals;race_pace_session;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark;long_run_tolerance","only if true base exists"
half_marathon_balanced,Half Marathon Balanced,beginner,4,recommended,review_after_refinement,14,20,balanced_completion,1,"one long run weekly",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;steady_aerobic_run;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;half_marathon_threshold_durability;long_run_with_steady_finish","10k_rhythm_intervals;race_pace_session;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark;long_run_tolerance","first strong half preset zone"
half_marathon_balanced,Half Marathon Balanced,beginner,5,recommended,review_after_refinement,12,18,balanced_completion,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;steady_aerobic_run;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;half_marathon_threshold_durability;long_run_with_steady_finish","10k_rhythm_intervals;race_pace_session;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark;long_run_tolerance","rich balanced variant"
half_marathon_balanced,Half Marathon Balanced,running_regularly,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","1 day/week is not preset-safe"
half_marathon_balanced,Half Marathon Balanced,running_regularly,2,available,review_after_refinement,16,24,balanced_completion,1,"long_run plus one moderate_or_support day",every_3rd_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;half_marathon_threshold_durability lite","10k_rhythm_intervals as default;race_pace_session;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark;long_run_tolerance","narrow but coach-credible if conservative"
half_marathon_balanced,Half Marathon Balanced,running_regularly,3,recommended,review_after_refinement,14,20,balanced_completion,1,"one long run weekly",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;steady_aerobic_run;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;half_marathon_threshold_durability;long_run_with_steady_finish","10k_rhythm_intervals as main language;race_pace_session;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark","good minimum viable half rhythm"
half_marathon_balanced,Half Marathon Balanced,running_regularly,4,recommended,review_after_refinement,10,16,balanced_completion,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;steady_aerobic_run;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;half_marathon_threshold_durability;long_run_with_steady_finish","10k_rhythm_intervals;race_pace_session;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark","default best fit"
half_marathon_balanced,Half Marathon Balanced,running_regularly,5,recommended,review_after_refinement,10,14,balanced_completion,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;steady_aerobic_run;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;half_marathon_threshold_durability;long_run_with_steady_finish","10k_rhythm_intervals;race_pace_session as normal preset;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark","richest balanced half"
half_marathon_balanced,Half Marathon Balanced,performance_focused,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","1 day/week is not preset-safe"
half_marathon_balanced,Half Marathon Balanced,performance_focused,2,not_ideal,review_after_refinement,16,24,base_only,1,"long_run plus one moderate_or_support day",every_3rd_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;half_marathon_threshold_durability lite","race_pace_session;5k_sharpening_repeats;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark;long_run_tolerance","not a performance solution"
half_marathon_balanced,Half Marathon Balanced,performance_focused,3,available,review_after_refinement,14,20,base_only,1,"one long run weekly",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;steady_aerobic_run;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;half_marathon_threshold_durability;long_run_with_steady_finish","race_pace_session;5k_sharpening_repeats as dominant language;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark","balanced base only"
half_marathon_balanced,Half Marathon Balanced,performance_focused,4,available,review_after_refinement,10,16,base_only,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;steady_aerobic_run;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;half_marathon_threshold_durability;long_run_with_steady_finish","race_pace_session as normal preset;5k_sharpening_repeats;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark","balanced base only"
half_marathon_balanced,Half Marathon Balanced,performance_focused,5,available,review_after_refinement,10,16,base_only,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;steady_aerobic_run;long_aerobic_run;cutback_long_run","progression_run;controlled_tempo_session;half_marathon_threshold_durability;long_run_with_steady_finish","race_pace_session as normal preset;5k_sharpening_repeats;marathon_steady_specificity","clear half-readiness marker or equivalent","fixed_rest_days;preferred_long_run_day;benchmark","do not drift into advanced half plan"
marathon_base,Marathon Base,new_to_running,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","family not safe for this level"
marathon_base,Marathon Base,new_to_running,2,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","family not safe for this level"
marathon_base,Marathon Base,new_to_running,3,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","family not safe for this level"
marathon_base,Marathon Base,new_to_running,4,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","family not safe for this level"
marathon_base,Marathon Base,new_to_running,5,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","family not safe for this level"
marathon_base,Marathon Base,beginner,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","1 day/week is not preset-safe"
marathon_base,Marathon Base,beginner,2,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","2-day marathon base is not preset-safe"
marathon_base,Marathon Base,beginner,3,not_ideal,review_after_refinement,24,40,durability_only,1,"one long run weekly",every_3rd_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run;marathon_steady_specificity","steady_aerobic_run;long_run_with_steady_finish late","race_pace_session;time_intervals;distance_intervals;half_marathon_threshold_durability","explicit base endpoint, not fake race peak","fixed_rest_days;preferred_long_run_day;benchmark;long_run_tolerance","very long conservative base only"
marathon_base,Marathon Base,beginner,4,available,review_after_refinement,18,30,durability_only,1,"one long run weekly",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run;marathon_steady_specificity","steady_aerobic_run;long_run_with_steady_finish;easy_run_with_strides optional","race_pace_session;time_intervals;distance_intervals;half_marathon_threshold_durability","explicit base endpoint, not fake race peak","fixed_rest_days;preferred_long_run_day;benchmark;long_run_tolerance","must stay honest as base"
marathon_base,Marathon Base,beginner,5,available,review_after_refinement,16,24,durability_only,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run;marathon_steady_specificity","steady_aerobic_run;long_run_with_steady_finish;controlled_tempo_session lite","race_pace_session;time_intervals;distance_intervals;half_marathon_threshold_durability","explicit base endpoint, not fake race peak","fixed_rest_days;preferred_long_run_day;benchmark;long_run_tolerance","only if runner can absorb it"
marathon_base,Marathon Base,running_regularly,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","1 day/week is not preset-safe"
marathon_base,Marathon Base,running_regularly,2,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","2-day marathon base is too weak for shipped preset"
marathon_base,Marathon Base,running_regularly,3,available,review_after_refinement,20,32,durability_base,1,"one long run weekly",every_3rd_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run;marathon_steady_specificity","steady_aerobic_run;long_run_with_steady_finish","race_pace_session;time_intervals;distance_intervals;half_marathon_threshold_durability","explicit base endpoint, not fake race peak","fixed_rest_days;preferred_long_run_day;benchmark","narrow but coach-credible"
marathon_base,Marathon Base,running_regularly,4,recommended,review_after_refinement,16,24,durability_base,1,"one long run weekly",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run;marathon_steady_specificity","steady_aerobic_run;long_run_with_steady_finish;easy_run_with_strides;controlled_tempo_session lite","race_pace_session;time_intervals as main language;distance_intervals;half_marathon_threshold_durability","explicit base endpoint, not fake race peak","fixed_rest_days;preferred_long_run_day;benchmark","strong preset fit"
marathon_base,Marathon Base,running_regularly,5,recommended,review_after_refinement,14,20,durability_base,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run;marathon_steady_specificity","steady_aerobic_run;long_run_with_steady_finish;easy_run_with_strides;controlled_tempo_session","race_pace_session;time_intervals as main language;distance_intervals;half_marathon_threshold_durability","explicit base endpoint, not fake race peak","fixed_rest_days;preferred_long_run_day;benchmark","richest marathon base preset"
marathon_base,Marathon Base,performance_focused,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","1 day/week is not preset-safe"
marathon_base,Marathon Base,performance_focused,2,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","2-day marathon base is too weak for shipped preset"
marathon_base,Marathon Base,performance_focused,3,not_ideal,review_after_refinement,18,28,base_only,1,"one long run weekly",every_3rd_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run;marathon_steady_specificity","steady_aerobic_run;long_run_with_steady_finish;controlled_tempo_session lite","race_pace_session;time_intervals as main language;distance_intervals;half_marathon_threshold_durability","explicit base endpoint, not fake race peak","fixed_rest_days;preferred_long_run_day;benchmark","base only, not performance marathon block"
marathon_base,Marathon Base,performance_focused,4,available,review_after_refinement,14,22,base_only,1,"one long run weekly",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run;marathon_steady_specificity","steady_aerobic_run;long_run_with_steady_finish;controlled_tempo_session","race_pace_session;time_intervals as main language;distance_intervals;half_marathon_threshold_durability","explicit base endpoint, not fake race peak","fixed_rest_days;preferred_long_run_day;benchmark","conservative base only"
marathon_base,Marathon Base,performance_focused,5,available,review_after_refinement,12,18,base_only,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run;marathon_steady_specificity","steady_aerobic_run;long_run_with_steady_finish;controlled_tempo_session","race_pace_session as normal preset;time_intervals as main language;distance_intervals;half_marathon_threshold_durability","explicit base endpoint, not fake race peak","fixed_rest_days;preferred_long_run_day;benchmark","base-only ceiling remains"
