identity,segment_sequence,segment_type,label_pattern,prescription_mode,duration_or_distance_rule,repeat_rule,recovery_rule,target_mode,target_intensity,pace_allowed,hr_allowed,benchmark_required,runner_cue,safety_note
half_marathon_threshold_durability,1,warmup,"easy warmup",duration,"15-20 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"arrive patient and prepared","needs prior progression or tempo support"
half_marathon_threshold_durability,2,repeat,"threshold durability block",duration_with_repeats,"8-15 min block or 20-30 min sustained block",1_to_3_blocks,"2-4 min easy jog when split",structure_only_executable_or_pace_executable,threshold_like_controlled,benchmark_only,personal_zones_only,pace_requires_benchmark,"strong and smooth, never straining","must not coexist with another hard specific touch"
half_marathon_threshold_durability,3,cooldown,"cooldown",duration,"10-12 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"bring the effort back down gradually","reduce block duration before adding complexity"
marathon_steady_specificity,1,warmup,"easy warmup",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"set up a calm durable rhythm","do not start at steady effort"
marathon_steady_specificity,2,main,"marathon-steady block",duration,"25-60 min",none,none,structure_only_executable_or_pace_executable,steady_plus,benchmark_only,personal_zones_only,pace_requires_benchmark,"durable and controlled, not race-pressed","must stay clearly sub-peak"
marathon_steady_specificity,3,cooldown,"cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish composed","not allowed day after long run in low-support variants"
long_aerobic_run,1,warmup,"easy warm start",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"start patient and relaxed","no fake long-run pace targets"
long_aerobic_run,2,main,"main long aerobic block",duration_or_distance,"family-scaled long duration or long easy distance",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"stay sustainable and conversational","long run needs visible purpose note"
long_aerobic_run,3,checkpoint,"fueling or composure checkpoint",duration,"brief mid-run cue when long enough",none,none,structure_only_executable,easy,no,no,no,"stay smooth and patient through the middle","checkpoint cue cannot replace numeric structure"
long_aerobic_run,4,finish,"easy finish",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish controlled","long runs should not end with random surges"
long_run_with_steady_finish,1,warmup,"easy warm start",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"save energy for the finish segment","do not force early pace"
long_run_with_steady_finish,2,main,"easy long base",duration,"family-scaled easy long block",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"stay patient through the early volume","this is still a long run first"
long_run_with_steady_finish,3,finish_block,"controlled steady finish",duration,"10-30 min",none,none,structure_only_executable_or_pace_executable,steady,benchmark_only,personal_zones_only,pace_requires_benchmark,"finish stronger but still controlled","counts as the week's specific touch"
long_run_with_steady_finish,4,finish,"easy settle",duration,"3-5 min",none,none,structure_only_executable,easy,no,no,no,"downshift before stopping","shorten finish block before total long-run duration"
cutback_long_run,1,warmup,"easy warm start",duration,"10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"treat this as a lighter week","must feel easier than prior peak week"
cutback_long_run,2,main,"reduced long aerobic block",duration_or_distance,"60-80 percent of recent peak long load",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"absorb the work, do not add ambition","never a stealth progression week"
cutback_long_run,3,finish,"easy finish",duration,"5 min",none,none,structure_only_executable,easy,no,no,no,"finish fresh enough to restart the next block","cannot double as final outcome marker"
tenk_completion_or_checkpoint,1,warmup,"easy warmup",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"start calm and give yourself room to settle","endpoint must not start aggressively"
tenk_completion_or_checkpoint,2,main,"10K completion or checkpoint block",distance_or_duration,"8-10K continuous or family-safe continuous checkpoint duration",none,none,structure_only_executable_or_pace_executable,controlled_completion,benchmark_only,personal_zones_only,pace_requires_benchmark,"run the planned distance or checkpoint honestly and evenly","this is a completion marker, not a target-time race"
tenk_completion_or_checkpoint,3,finish,"easy settle",duration,"3-5 min",none,none,structure_only_executable,easy,no,no,no,"downshift before stopping","endpoint still needs a clean finish row"
tenk_completion_or_checkpoint,4,cooldown,"cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish controlled and confident","cooldown may be shortened only for true endpoint event behavior"
half_readiness_marker,1,warmup,"easy warmup",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"arrive patient and smooth","this is not a peak race simulation"
half_readiness_marker,2,main,"easy or steady base block",duration,"20-40 min",none,none,structure_only_executable_or_pace_executable,easy_to_steady,benchmark_only,personal_zones_only,no_for_plan,"build into the session calmly","base section should feel controlled"
half_readiness_marker,3,main,"readiness marker block",duration,"10-25 min",none,none,structure_only_executable_or_pace_executable,controlled_half_specific,benchmark_only,personal_zones_only,pace_requires_benchmark,"finish with calm half-specific intent, not a race press","marker should confirm readiness, not create extra fatigue"
half_readiness_marker,4,cooldown,"cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"bring effort down smoothly","keep the endpoint confidence-building"
base_endpoint_marker,1,warmup,"easy warmup",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"start patient and economical","do not imitate taper or peak-race nerves"
base_endpoint_marker,2,main,"durable base block",duration,"30-60 min or shorter specific long expression",none,none,structure_only_executable_or_pace_executable,steady_plus,benchmark_only,personal_zones_only,pace_requires_benchmark,"show durable marathon composure without forcing pace","this is a base endpoint, not a marathon race-pace run"
base_endpoint_marker,3,settle,"easy settle",duration,"3-5 min",none,none,structure_only_executable,easy,no,no,no,"downshift before finishing","optional only if endpoint format already contains a smooth finish"
base_endpoint_marker,4,cooldown,"cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish calm and durable","must not imply peak readiness"
